TotalProducts,Id,Depth,ParentId,Name,SubTreeCount
131586,112140,1,111000,Semiconductors,13
28911,112141,2,112140,Diodes,6
6721,100179,3,112141,"Universal diodes",4
2661,112791,4,100179,"SMD universal diodes",0
2074,113119,4,100179,"THT universal diodes",0
1443,112792,4,100179,"Stud mounting universal diodes",0
543,112793,4,100179,"Diodes - others",0
5520,112795,3,112141,"Schottky diodes",3
3737,112796,4,112795,"SMD Schottky diodes",0
1776,112797,4,112795,"THT Schottky diodes",0
7,112798,4,112795,"Stud mounting Schottky diodes",0
6400,100257,3,112141,"Zener diodes",3
4959,100576,4,100257,"SMD Zener diodes",0
1208,100254,4,100257,"THT Zener diodes",0
233,112799,4,100257,"Stud mounting Zener diodes",0
8770,100253,3,112141,"Transil diodes",3
5856,112800,4,100253,"SMD transil diodes",2
3168,112801,5,112800,"Unidirectional SMD transil diodes",0
2688,112802,5,112800,"Bidirectional SMD transil diodes",0
2496,112803,4,100253,"THT transil diodes",2
1243,112804,5,112803,"Unidirectional THT transil diodes",0
1253,112805,5,112803,"Bidirectional THT transil diodes",0
418,113178,4,100253,"Transil diodes - arrays",0
21,112806,3,112141,"Special diodes",0
1479,113441,3,113440,"Diode modules",0
3315,112807,2,112140,"Bridge rectifiers",2
2656,112808,3,112807,"Single phase bridge rectifiers",2
2516,100287,4,112808,"Single phase diode bridge rectifiers",5
546,112809,5,100287,"SMD/THT sing. phase diode bridge rectif.",0
53,112810,5,100287,"Round single phase diode bridge rectif.",0
1103,112811,5,100287,"Flat single phase diode bridge rectif.",0
642,112812,5,100287,"Square single phase diode bridge rectif.",0
172,112813,5,100287,"Sing. ph. diode bridge rectif. - others",0
140,112814,4,112808,"Single phase controlled bridge rectif.",0
659,112815,3,112807,"Three phase bridge rectifiers",2
607,112816,4,112815,"Three phase diode bridge rectifiers",0
52,112817,4,112815,"Three phase controlled bridge rectif.",0
4031,113440,2,112140,"Discrete semiconductors modules",5
1479,113441,3,113440,"Diode modules",0
639,112823,4,112822,"Thyristor modules",0
351,112824,4,112822,"Diode - thyristor modules",0
555,113458,4,17,"Transistor modules MOSFET",0
1007,100311,4,112839,"IGBT modules",0
3310,19,2,112140,Thyristors,2
2320,100181,3,19,"Single thyristores",4
528,112818,4,100181,"SMD/THT thyristors",0
291,112819,4,100181,"Stud mounting thyristors",0
350,112820,4,100181,"Button thyristors",0
1151,112821,4,100181,"Thyristors - others",0
990,112822,3,19,"Thyristor modules",2
639,112823,4,112822,"Thyristor modules",0
351,112824,4,112822,"Diode - thyristor modules",0
1006,100125,2,112140,Triacs,0
26,100182,2,112140,Diacs,0
19052,112825,2,112140,Transistors,4
12477,17,3,112825,"Unipolar transistors",4
9497,100309,4,17,"N channel transistors",2
5484,112826,5,100309,"SMD N channel transistors",0
4013,112827,5,100309,"THT N channel transistors",0
1703,100592,4,17,"P channel transistors",2
1511,112828,5,100592,"SMD P channel transistors",0
192,112829,5,100592,"THT P channel transistors",0
722,100615,4,17,"Multi channel transistors",0
555,113458,4,17,"Transistor modules MOSFET",0
4657,112830,3,112825,"Bipolar transistors",3
4124,112831,4,112830,"Single bipolar transistors",4
1259,112832,5,112831,"PNP SMD transistors",0
369,100591,5,112831,"PNP THT transistors",0
1716,112833,5,112831,"NPN SMD transistors",0
780,100180,5,112831,"NPN THT transistors",0
209,113448,4,112830,"Complementary transistors",0
324,112834,4,112830,"Darlington transistors",4
26,112835,5,112834,"PNP SMD Darlington transistors",0
90,112836,5,112834,"PNP THT Darlington transistors",0
57,112837,5,112834,"NPN SMD Darlington transistors",0
151,112838,5,112834,"NPN THT Darlington transistors",0
1913,112839,3,112825,"IGBT transistors and modules",2
906,112840,4,112839,"IGBT transistors",2
172,112841,5,112840,"SMD IGBT transistors",0
734,112842,5,112840,"THT IGBT transistors",0
1007,100311,4,112839,"IGBT modules",0
5,100594,3,112825,"Unijunction transistors",0
64889,100283,2,112140,"Integrated circuits",9
15738,100421,3,100283,"Analog and mixed integrated circuits",14
521,100622,4,100421,"Digital potentiometers",0
285,100223,4,100421,"Temperature transducers",0
4540,100216,4,100421,"Operational amplifiers",2
4065,112843,5,100216,"SMD operational amplifiers",0
475,112844,5,100216,"THT operational amplifiers",0
741,112845,4,100421,Comparators,2
660,100217,5,112845,"SMD comparators",0
81,112846,5,112845,"THT comparators",0
57,100579,4,100421,"U/I, U/f, U/U converters",0
509,100221,4,100421,"Drivers - integrated circuits",0
443,112847,4,100421,"Motor and PWM drivers",0
690,112848,4,100421,"LED drivers",0
1055,112849,4,100421,"MOSFET/IGBT drivers",0
190,100621,4,100421,"Filters - integrated circuits",0
4130,112850,4,100421,"Interfaces - integrated circuits",6
8,112851,5,112850,"I2C interfaces - integrated circuits",0
166,112852,5,112850,"USB interfaces - integrated circuits",0
203,112853,5,112850,"CAN interfaces -  integrated circuits",0
1578,112854,5,112850,"RS232/422/485 interfaces - integr. circ.",0
596,112855,5,112850,"ETHERNET interfaces -integrated circuits",0
1579,112856,5,112850,"Interfaces others - integrated circuits",0
748,113433,4,100421,"Power switches - integrated circuits",0
1321,112877,4,100284,"A/D converters - integrated circuits",0
508,112878,4,100284,"D/A converters - integrated circuits",0
8366,112857,3,100283,"Logic integrated circuits",13
1804,113421,4,112857,"Buffers, transceivers, drivers",0
26,113422,4,112857,Comparators,0
299,113423,4,112857,Counters/dividers,0
717,113424,4,112857,"Decoders, multiplexers, switches",0
6,114028,4,112857,"FIFOs memory",0
669,113426,4,112857,Flip-Flops,0
2652,113427,4,112857,"Gates, inverters",0
345,113428,4,112857,Latches,0
388,113429,4,112857,"Level translators",0
92,113430,4,112857,Multivibrators,0
305,113431,4,112857,"Shift registers",0
81,113432,4,112857,"Other logic integrated circuits",0
982,113417,4,112857,"Programmable circuits",0
16034,100590,3,100283,"Microcontrollers and Microprocessors",7
11443,112859,4,100590,"Microchip Microcontrollers",8
148,113636,5,112859,"8-bit 8051 family",0
1531,113637,5,112859,"8-bit AVR family",0
3798,100314,5,112859,"8-bit PIC family",0
1210,112860,5,112859,"16-bit PIC family",0
2067,113638,5,112859,"16-bit dsPIC family",0
137,113639,5,112859,"32-bit AVR32 family",0
1657,112861,5,112859,"32-bit PIC32 family",0
895,113640,5,112859,"32-bit ARM family",0
103,113781,4,100590,"Microchip Microprocessors",0
303,113634,4,100590,"Infineon Technologies microcontrollers",0
1367,112865,4,100590,"NXP microcontrollers",1
1367,100588,5,112865,"ARM NXP microcontrollers",0
1036,113635,4,100590,"Texas Instruments microcontrollers",0
1263,112866,4,100590,"ST microcontrollers",0
519,100585,4,100590,"Microcontrollers - others",0
5830,100286,3,100283,"Memories - integrated circuits",7
1282,112867,4,100286,"SRAM memories - integrated circuits",2
45,112868,5,112867,"Serial SRAM memories - integrated circ.",0
1237,100282,5,112867,"Parallel SRAM memories - integ. circ.",0
925,112869,4,100286,"DRAM memories - integrated circuits",0
37,100279,4,100286,"EPROM memories - integrated circuits",0
1650,112870,4,100286,"EEPROM memories - integrated circuits",2
1601,100280,5,112870,"Serial EEPROM memories - integ. circ.",0
49,112871,5,112870,"Parallel EEPROM memories - integ. circ.",0
1744,112872,4,100286,"FLASH memories - integrated circuits",2
1228,112873,5,112872,"Serial FLASH memories - integrated circ.",0
516,100278,5,112872,"Parallel FLASH memories - integ. circ.",0
90,100424,4,100286,"FRAM memories - integrated circuits",0
102,112874,4,100286,"Memories others - integrated circuits",0
4127,100284,3,100283,"Peripheral integrated circuits",7
1337,112875,4,100284,"Watchdog and reset circuits",0
42,113598,4,100284,"Authentification integrated circuits",0
91,112876,4,100284,"Supervisor circuits",0
215,100435,4,100284,"RTC circuits",0
1321,112877,4,100284,"A/D converters - integrated circuits",0
508,112878,4,100284,"D/A converters - integrated circuits",0
613,100222,4,100284,"Analog multiplexers and switches",0
15463,112879,3,100283,"Voltage regulators - integrated circuits",4
8071,100581,4,112879,"Linear regulators - integrated circuits",4
630,100215,5,100581,"Unregulated voltage regulators",0
6550,112880,5,100581,"LDO unregulated voltage regulators",0
137,100582,5,100581,"Regulated voltage regulators",0
754,112881,5,100581,"LDO regulated voltage regulators",0
5639,112882,4,112879,"Switched regulators - integrated circ.",2
4607,100220,5,112882,"Voltage regulators - DC/DC circuits",0
1032,112883,5,112882,"Voltage regulators - PWM circuits",0
1074,100218,4,112879,"Reference voltage sources - circuits",0
679,112884,4,112879,"Battery and battery cells controllers",0
609,100219,3,100283,"RTV - audio integrated circuits",0
10,100214,3,100283,"Hybrid integrated circuits",0
541,112885,3,100283,"Integrated circuits - others",0
