Symbol,Language,Currency,PriceType,Unit,VatRate,VatType,Amount,PriceValue,Special
1SAE231111R0640,EN,EUR,ExVAT,,,ExVAT,1,11,
1SAE341111R0622,EN,EUR,ExVAT,,,ExVAT,1,34,
1SAE901901R1011,EN,EUR,ExVAT,,,ExVAT,1,9,
1SFA611920R8130,EN,EUR,ExVAT,,,ExVAT,1,1,
1SVR500020R0000,EN,EUR,ExVAT,,,ExVAT,1,35,
2CDS273001R0634,EN,EUR,ExVAT,,,ExVAT,1,32,
1492-CABLE005TBNH,EN,EUR,ExVAT,,,ExVAT,1,61,
1492-SPM2B010,EN,EUR,ExVAT,,,ExVAT,1,17,
110284,EN,EUR,ExVAT,,,ExVAT,1,350,
189902,EN,EUR,ExVAT,,,ExVAT,1,24,
189910,EN,EUR,ExVAT,,,ExVAT,1,37,
216714,EN,EUR,ExVAT,,,ExVAT,1,3,
216722,EN,EUR,ExVAT,,,ExVAT,1,3,
278446,EN,EUR,ExVAT,,,ExVAT,1,21,
EPN540,EN,EUR,ExVAT,,,ExVAT,1,22,
078866L,EN,EUR,ExVAT,,,ExVAT,1,5,
0402174,EN,EUR,ExVAT,,,ExVAT,1,3,
1274117,EN,EUR,ExVAT,,,ExVAT,1,102,
3022218,EN,EUR,ExVAT,,,ExVAT,1,0,
3026272,EN,EUR,ExVAT,,,ExVAT,1,1,
3036042,EN,EUR,ExVAT,,,ExVAT,1,1,
3038930,EN,EUR,ExVAT,,,ExVAT,1,6,
3044814,EN,EUR,ExVAT,,,ExVAT,1,0,
A9N21553,EN,EUR,ExVAT,,,ExVAT,1,3,
A9N61524,EN,EUR,ExVAT,,,ExVAT,1,13,
A9R01463,EN,EUR,ExVAT,,,ExVAT,1,58,
A9R35480,EN,EUR,ExVAT,,,ExVAT,1,69,
A9R61225,EN,EUR,ExVAT,,,ExVAT,1,28,
A9R61240,EN,EUR,ExVAT,,,ExVAT,1,29,
A9R61425,EN,EUR,ExVAT,,,ExVAT,1,36,
ABL6TS63G,EN,EUR,ExVAT,,,ExVAT,1,119,
ATV12HU15M2,EN,EUR,ExVAT,,,ExVAT,1,155,
ATV320U11N4C,EN,EUR,ExVAT,,,ExVAT,1,206,
ATV320U55N4B,EN,EUR,ExVAT,,,ExVAT,1,360,
ATV630D11N4,EN,EUR,ExVAT,,,ExVAT,1,847,
C1036E100,EN,EUR,ExVAT,,,ExVAT,1,204,
C163TM160,EN,EUR,ExVAT,,,ExVAT,1,33,
C1642D160,EN,EUR,ExVAT,,,ExVAT,1,162,
C164TM160,EN,EUR,ExVAT,,,ExVAT,1,71,
C16N4,EN,EUR,ExVAT,,,ExVAT,1,126,
C2532D250,EN,EUR,ExVAT,,,ExVAT,1,116,
C254TM250,EN,EUR,ExVAT,,,ExVAT,1,70,
C25F3,EN,EUR,ExVAT,,,ExVAT,1,118,
C25F4,EN,EUR,ExVAT,,,ExVAT,1,143,
C25H3MA220,EN,EUR,ExVAT,,,ExVAT,1,134,
C4042D250,EN,EUR,ExVAT,,,ExVAT,1,200,
C6335E630,EN,EUR,ExVAT,,,ExVAT,1,298,
C634630S,EN,EUR,ExVAT,,,ExVAT,1,487,
C63N3,EN,EUR,ExVAT,,,ExVAT,1,355,
C63N4,EN,EUR,ExVAT,,,ExVAT,1,405,
EPH5800621,EN,EUR,ExVAT,,,ExVAT,1,1,
EPH6100161,EN,EUR,ExVAT,,,ExVAT,1,1,
GV2ME03,EN,EUR,ExVAT,,,ExVAT,1,18,
GV2ME04,EN,EUR,ExVAT,,,ExVAT,1,18,
GV2ME05,EN,EUR,ExVAT,,,ExVAT,1,19,
GV2ME06,EN,EUR,ExVAT,,,ExVAT,1,19,
GV2ME07,EN,EUR,ExVAT,,,ExVAT,1,19,
GV2ME08,EN,EUR,ExVAT,,,ExVAT,1,19,
GV2ME10,EN,EUR,ExVAT,,,ExVAT,1,19,
GV2ME14,EN,EUR,ExVAT,,,ExVAT,1,18,
GV2ME20,EN,EUR,ExVAT,,,ExVAT,1,22,
GV2ME22,EN,EUR,ExVAT,,,ExVAT,1,29,
GV2ME32,EN,EUR,ExVAT,,,ExVAT,1,49,
LADN02,EN,EUR,ExVAT,,,ExVAT,1,4,
LC1D12BD,EN,EUR,ExVAT,,,ExVAT,1,28,
LC1D25P7,EN,EUR,ExVAT,,,ExVAT,1,28,
LUCD18BL,EN,EUR,ExVAT,,,ExVAT,1,51,
LV429008,EN,EUR,ExVAT,,,ExVAT,1,62,
LV429489,EN,EUR,ExVAT,,,ExVAT,1,197,
LVS08324,EN,EUR,ExVAT,,,ExVAT,1,104,
NSYTEX6,EN,EUR,ExVAT,,,ExVAT,1,0,
NSYTJ8025,EN,EUR,ExVAT,,,ExVAT,1,55,
XB4BA21,EN,EUR,ExVAT,,,ExVAT,1,4,
XB5AW31M5,EN,EUR,ExVAT,,,ExVAT,1,5,
XC1ZP2005,EN,EUR,ExVAT,,,ExVAT,1,7,
3LD9240-0C,EN,EUR,ExVAT,,,ExVAT,1,27,
3RM1207-1AA04,EN,EUR,ExVAT,,,ExVAT,1,78,
3RT2025-1AF00,EN,EUR,ExVAT,,,ExVAT,1,21,
5SV3646-4,EN,EUR,ExVAT,,,ExVAT,1,197,
8US1923-3AA01,EN,EUR,ExVAT,,,ExVAT,1,9,
1020100000,EN,EUR,ExVAT,,,ExVAT,1,0,
