Symbol,CustomerSymbol,OriginalSymbol,Producer,Description,CategoryId,Category,Photo,Thumbnail,Weight,WeightUnit,SuppliedAmount,MinAmount,Multiples,Unit,ProductInformationPage,Guarantee,OfferId
1SAE231111R0640,,,ABB,"ESB25-40N-06 ",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/99714f12-c896-11e9-a2bc-0024ecf0d8bf,,
1SAE341111R0622,,,ABB,"1SAE341111R0622 ESB40-22N 230 VAC/DC KONTAKTORIUS ",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/ff4496ad-ded0-11e9-a2c4-0024ecf0d8bf,,
1SAE901901R1011,,,ABB,"EH04-11N Auxiliary Contact",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/061314d9-ded1-11e9-a2c4-0024ecf0d8bf,,
1SFA611920R8130,,,ABB,"1SFA611920R8130 MA1-8130 AKLĖ",,,,,,,10,10,,pcs.,https://b2b.brandelektra.com/item/877c67ba-ded3-11e9-a2c4-0024ecf0d8bf,,
1SVR500020R0000,,,ABB,"1SVR500020R0000 CT-MFD.12 24-48VDC/24-240VAC LAIKO",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/34ea4f48-ded4-11e9-a2c4-0024ecf0d8bf,,
2CDS273001R0634,,,ABB,"2CDS273001R0634 Miniature Circuit Breaker - S200M - 3P - C",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/53d0d786-54dd-11e7-80f7-005056011b1b,,
1492-CABLE005TBNH,,,"Allen Bradley","1492-CABLE005TBNH Digital Cable Connection Products",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/83b7107b-dee8-11e9-a2c4-0024ecf0d8bf,,
1492-SPM2B010,,,"Allen Bradley","MCB SUPPLEMENTARY PROTECTOR 1 A",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/18b398ed-fdea-11e8-a2b6-0024ecf0d8bf,,
110284,,,Eaton,110284,,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/d8cc70c0-84ea-11ec-ba80-000c29c85303,,
189902,,,Eaton,189902,,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/60234a00-84e8-11ec-ba80-000c29c85303,,
189910,,,Eaton,189910,,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/60234a10-84e8-11ec-ba80-000c29c85303,,
216714,,,Eaton,216714,,,,,,,5,5,,pcs.,https://b2b.brandelektra.com/item/2533ae57-84ee-11ec-ba80-000c29c85303,,
216722,,,Eaton,216722,,,,,,,5,5,,pcs.,https://b2b.brandelektra.com/item/2533ae67-84ee-11ec-ba80-000c29c85303,,
278446,,,Eaton,"278446 ZB32-1",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/b464c0c2-0c77-11eb-a2c4-0024ecf0d8bf,,
EPN540,,,"Hager Group",EPN540,,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/ff26add3-84da-11ec-ba80-000c29c85303,,
078866L,,,Legrand,078866L,,,,,,,100,100,,pcs.,https://b2b.brandelektra.com/item/98bafa63-7cbc-11eb-a2c7-0024ecf0d8bf,,
0402174,,,"Phoenix Contact","0402174 Neutral busbar - NLS-CU 3/10 SN 1000MM",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/e2ee8b74-1ddc-11e7-80f5-005056011b1b,,
1274117,,,"Phoenix Contact","Energy storage - UPS-BAT/PB/24DC/4AH",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/229166fd-739a-11ec-ba80-000c29c85303,,
3022218,,,"Phoenix Contact","3022218 End clamp - CLIPFIX 35",,,,,,,50,50,,pcs.,https://b2b.brandelektra.com/item/33c06b47-138b-11e7-80f5-005056011b1b,,
3026272,,,"Phoenix Contact","3026272 Test disconnect terminal block - URTK 6",,,,,,,50,50,,pcs.,https://b2b.brandelektra.com/item/541d9533-5fda-11e7-80f8-005056011b1b,,
3036042,,,"Phoenix Contact","3036042 ST 2,5-3L  blokas",,,,,,,50,50,,pcs.,https://b2b.brandelektra.com/item/ad3b512a-573e-11e7-80f8-005056011b1b,,
3038930,,,"Phoenix Contact","3038930 FBS 50-5",,,,,,,10,10,,pcs.,https://b2b.brandelektra.com/item/7b1effee-6bb8-11e7-80f8-005056011b1b,,
3044814,,,"Phoenix Contact","3044814 Double-level terminal block - UTTB 4 ",,,,,,,50,50,,pcs.,https://b2b.brandelektra.com/item/118ce343-a500-11e7-80fc-005056011b1b,,
A9N21553,,,"Schneider Electric","A9N21553 [CLEARANCE] Acti9 iDPN N miniature circuit breaker 1P+N 2A C 10kA",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/d5b4f4e6-138b-11e7-80f5-005056011b1b,,
A9N61524,,,"Schneider Electric","Circuit breaker C60H-DC 500Vdc 4A 2P C",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/d5b4f536-138b-11e7-80f5-005056011b1b,,
A9R01463,,,"Schneider Electric","A9R01463 Acti9 iID nuotekio relė 4P 63A 30mA typeA",,,,,,,3,3,,pcs.,https://b2b.brandelektra.com/item/3083dbbf-d940-11e9-a2c4-0024ecf0d8bf,,
A9R35480,,,"Schneider Electric","ACTI9 IID 4P 80A 300MA-S A-SI-TYPE RESID",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/d5b4f602-138b-11e7-80f5-005056011b1b,,
A9R61225,,,"Schneider Electric","Acti 9 iID - RCCB - 2P - 25A - 30mA - type A-SI",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/dc5da179-138b-11e7-80f5-005056011b1b,,
A9R61240,,,"Schneider Electric","Acti 9 iID - RCCB - 2P - 40A - 30mA - type A-SI",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/dc5da17b-138b-11e7-80f5-005056011b1b,,
A9R61425,,,"Schneider Electric","ACTI9 IID 4P 25A 30MA A-SI-TYPE RESIDUAL",,,,,,,1,1,,pcs.,https://b2b.brandelektra.com/item/dc5da17f-138b-11e7-80f5-005056011b1b,,
