title,url,imageIrl,parentUrl
"HDD Accessories",https://www.conrad.com/en/c/hdd-accessories-3256774.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/992105_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Blank Media",https://www.conrad.com/en/c/blank-media-17133.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/411076_BB_03_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Memory Cards",https://www.conrad.com/en/c/memory-cards-19818.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1497753_BB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"HDDs (Hard Disk Drives)",https://www.conrad.com/en/c/hdds-(hard-disk-drives)-42763.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/410880_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Streamer Tapes",https://www.conrad.com/en/0/streamer-tapes-415061.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/972112_BB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Memory Card Readers",https://www.conrad.com/en/0/memory-card-readers-412020.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1198497_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Apple Memory",https://www.conrad.com/en/c/apple-memory-1132386.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1231789_BB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Network Attached Storage (NAS)",https://www.conrad.com/en/c/network-attached-storage-(nas)-3259243.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1423357_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Hard Drive Docking Stations",https://www.conrad.com/en/0/hard-drive-docking-stations-410118.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/987137_AB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"USB Sticks",https://www.conrad.com/en/0/usb-sticks-412014.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1402154_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Phone & Tablet Memory Expansion",https://www.conrad.com/en/0/phone-&-tablet-memory-expansion-412015.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1437494_ZB_01_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Data Backup & Cloners",https://www.conrad.com/en/0/data-backup-&-cloners-410134.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/430184_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"SSDs (Solid-State Drives)",https://www.conrad.com/en/c/ssds-(solid-state-drives)-1077241.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1594264_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"Sales Storage Media",https://www.conrad.com/en/s/sales-storage-media-c17145.html,,https://www.conrad.com/en/c/storage-media-17145.html
"Novelties Storage Media",https://www.conrad.com/en/n/novelties-storage-media-c17145.html,,https://www.conrad.com/en/c/storage-media-17145.html
"Memory Card & Stick Bags",https://www.conrad.com/en/0/memory-card-&-stick-bags-415186.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/970609_LB_00_FB/image.jpg,https://www.conrad.com/en/c/storage-media-17145.html
"iPad Air 10.9",https://www.conrad.com/en/f/ipad-air-10.9-3591324.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002564403PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple Pencil",https://www.conrad.com/en/f/apple-pencil-5536625.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/001879979PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple iPad",https://www.conrad.com/en/f/apple-ipad-3606085.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002250614PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple iMac",https://www.conrad.com/en/f/apple-imac-51079834.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1398276_BB_02_FB/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"TAN Mini",https://www.conrad.com/en/f/tan-mini-3096041.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002335824PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple EarPods & AirPods",https://www.conrad.com/en/f/apple-earpods-&-airpods-6080241.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002481491PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple Watches",https://www.conrad.com/en/f/apple-watches-4733230.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002302309PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple Accessories",https://www.conrad.com/en/c/apple-accessories-256052.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/878678_AB_00_FB/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple MacBooks",https://www.conrad.com/en/f/apple-macbooks-3657084.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002202842PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple TV",https://www.conrad.com/en/1/apple-tv-310109.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/878218_BB_01_FB/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple AirTags",https://www.conrad.com/en/f/apple-airtags-4936330.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002369059PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple iPhones",https://www.conrad.com/en/f/apple-iphones-2777554.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1826370_BB_02_FB/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Apple HomePod",https://www.conrad.com/en/1/apple-homepod-310049.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1698610_BB_00_FB/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"iPad mini",https://www.conrad.com/en/f/ipad-mini-5543812.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/002471073PI00/image.jpg,https://www.conrad.com/en/c/apple-256025.html
"Sales Computing & Office",https://www.conrad.com/en/s/sales-computing-&-office-t01.html,,https://www.conrad.com/en/t/computing-&-office-01.html
"Novelties Computing & Office",https://www.conrad.com/en/n/novelties-computing-&-office-t01.html,,https://www.conrad.com/en/t/computing-&-office-01.html
"Novelties Printers & Scanners",https://www.conrad.com/en/n/novelties-printers-&-scanners-c17153.html,,https://www.conrad.com/en/c/printers-&-scanners-17153.html
"3D Printing",https://www.conrad.com/en/c/3d-printing-857848.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1395717_AB_00_FB/image.jpg,https://www.conrad.com/en/c/printers-&-scanners-17153.html
Scanners,https://www.conrad.com/en/c/scanners-17157.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/333998_LB_16_FB/image.jpg,https://www.conrad.com/en/c/printers-&-scanners-17153.html
"Printer Ink & Toner Cartridges, Ink Ribbons","https://www.conrad.com/en/c/printer-ink-&-toner-cartridges,-ink-ribbons-258297.html",https://asset.conrad.com/media10/isa/160267/c1/-/en/333998_LB_58_FB/image.jpg,https://www.conrad.com/en/c/printers-&-scanners-17153.html
"Paper, OHP Film & Labels","https://www.conrad.com/en/c/paper,-ohp-film-&-labels-165575.html",https://asset.conrad.com/media10/isa/160267/c1/-/en/882501_LB_00_FB/image.jpg,https://www.conrad.com/en/c/printers-&-scanners-17153.html
"Printer Accessories",https://www.conrad.com/en/c/printer-accessories-40669.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/333998_LB_59_FB/image.jpg,https://www.conrad.com/en/c/printers-&-scanners-17153.html
"Printers & Multi-function Devices",https://www.conrad.com/en/c/printers-&-multi-function-devices-258286.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/881469_BB_00_FB/image.jpg,https://www.conrad.com/en/c/printers-&-scanners-17153.html
"Sales Printers & Scanners",https://www.conrad.com/en/s/sales-printers-&-scanners-c17153.html,,https://www.conrad.com/en/c/printers-&-scanners-17153.html
"Privacy Screen Protectors",https://www.conrad.com/en/0/privacy-screen-protectors-413109.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/1196147_AB_00_FB/image.jpg,https://www.conrad.com/en/c/monitors-17155.html
"Touchscreen Monitors",https://www.conrad.com/en/0/touchscreen-monitors-413015.html,https://asset.conrad.com/media10/isa/160267/c1/-/en/881641_AB_00_FB/image.jpg,https://www.conrad.com/en/c/monitors-17155.html
